"a","a_cil","a_ciu","b","b_cil","b_ciu","c","c_cil","c_ciu","c_prime","c_prime_cil","c_prime_ciu","int_on_cp_coeff","int_on_cp_cil","int_on_cp_ciu","total","model"
0.159,-0.047,0.365,-0.154,-0.198,-0.109,-0.023,-0.095,0.048,0.001,-0.064,0.066,0.024,-0.037,0.085,-0.023,1
0.145,-0.062,0.351,-0.137,-0.184,-0.091,0.001,-0.072,0.074,0.021,-0.047,0.089,0.019,-0.045,0.083,0.001,2
0.132,-0.074,0.339,-0.155,-0.201,-0.109,0.012,-0.061,0.085,0.03,-0.037,0.097,0.049,-0.014,0.112,0.01,3
0.162,-0.044,0.368,-0.173,-0.22,-0.126,-0.019,-0.094,0.056,0.005,-0.064,0.074,0.063,-0.002,0.128,-0.023,4
0.134,-0.074,0.341,-0.161,-0.205,-0.118,-0.01,-0.08,0.061,0.011,-0.054,0.075,0.042,-0.018,0.102,-0.011,5
0.138,-0.069,0.345,-0.162,-0.206,-0.118,-0.011,-0.084,0.061,0.01,-0.056,0.076,0.041,-0.021,0.102,-0.012,6
0.13,-0.077,0.338,-0.17,-0.213,-0.127,0,-0.071,0.07,0.024,-0.04,0.088,0.049,-0.01,0.109,0.002,7
0.173,-0.033,0.379,-0.179,-0.224,-0.133,0.005,-0.069,0.08,0.034,-0.034,0.101,0.051,-0.012,0.114,0.003,8
0.158,-0.049,0.365,-0.152,-0.197,-0.106,-0.011,-0.084,0.062,0.011,-0.056,0.079,0.035,-0.028,0.098,-0.013,9
0.136,-0.071,0.343,-0.16,-0.204,-0.117,0.001,-0.069,0.071,0.021,-0.044,0.085,0.071,0.011,0.131,-0.001,10
0.154,-0.053,0.36,-0.137,-0.18,-0.095,-0.006,-0.075,0.063,0.017,-0.046,0.081,0.011,-0.048,0.07,-0.004,11
0.131,-0.076,0.337,-0.129,-0.174,-0.084,-0.025,-0.096,0.047,-0.006,-0.073,0.06,0.004,-0.059,0.066,-0.023,12
0.114,-0.092,0.32,-0.178,-0.224,-0.132,-0.002,-0.076,0.072,0.016,-0.052,0.083,0.067,0.004,0.13,-0.004,13
0.148,-0.059,0.355,-0.163,-0.209,-0.117,0.014,-0.059,0.087,0.036,-0.031,0.103,0.053,-0.01,0.116,0.012,14
0.16,-0.046,0.365,-0.148,-0.195,-0.102,-0.001,-0.074,0.073,0.022,-0.047,0.09,0.039,-0.025,0.103,-0.002,15
0.138,-0.069,0.344,-0.147,-0.191,-0.104,-0.029,-0.099,0.041,-0.008,-0.071,0.056,0.018,-0.042,0.078,-0.028,16
0.15,-0.057,0.357,-0.159,-0.204,-0.113,0.01,-0.063,0.084,0.033,-0.034,0.101,0.029,-0.034,0.092,0.009,17
0.138,-0.069,0.345,-0.157,-0.203,-0.111,-0.013,-0.086,0.06,0.007,-0.06,0.075,0.047,-0.016,0.11,-0.015,18
0.136,-0.07,0.342,-0.159,-0.203,-0.115,0.018,-0.053,0.089,0.039,-0.026,0.104,0.038,-0.023,0.098,0.017,19
0.17,-0.037,0.377,-0.147,-0.193,-0.101,-0.01,-0.084,0.063,0.014,-0.054,0.082,0.027,-0.036,0.091,-0.011,20
0.167,-0.04,0.374,-0.163,-0.209,-0.117,0.002,-0.072,0.077,0.027,-0.042,0.095,0.043,-0.021,0.107,0,21
0.143,-0.064,0.35,-0.15,-0.195,-0.106,-0.002,-0.073,0.07,0.018,-0.048,0.084,0.034,-0.028,0.095,-0.003,22
0.142,-0.065,0.349,-0.151,-0.197,-0.105,0.004,-0.068,0.077,0.025,-0.042,0.092,0.03,-0.032,0.093,0.004,23
0.162,-0.045,0.37,-0.141,-0.186,-0.095,-0.007,-0.08,0.066,0.018,-0.05,0.085,0.009,-0.054,0.072,-0.005,24
0.138,-0.069,0.345,-0.14,-0.184,-0.096,-0.017,-0.088,0.053,0.003,-0.062,0.068,0.027,-0.034,0.088,-0.016,25
0.147,-0.058,0.353,-0.181,-0.225,-0.136,-0.034,-0.107,0.04,-0.007,-0.073,0.058,0.047,-0.015,0.108,-0.034,26
0.146,-0.061,0.353,-0.15,-0.196,-0.104,-0.005,-0.078,0.068,0.016,-0.051,0.084,0.031,-0.032,0.094,-0.006,27
0.185,-0.021,0.392,-0.171,-0.216,-0.125,-0.007,-0.08,0.066,0.019,-0.048,0.087,0.072,0.008,0.135,-0.013,28
0.161,-0.046,0.368,-0.155,-0.199,-0.111,0.013,-0.057,0.083,0.037,-0.027,0.101,0.043,-0.016,0.103,0.012,29
0.163,-0.043,0.369,-0.155,-0.201,-0.11,0.015,-0.058,0.089,0.042,-0.026,0.11,0.037,-0.027,0.1,0.017,30
0.136,-0.071,0.344,-0.172,-0.216,-0.129,-0.016,-0.088,0.056,0.006,-0.058,0.071,0.044,-0.016,0.104,-0.017,31
0.143,-0.064,0.351,-0.169,-0.212,-0.125,-0.013,-0.084,0.058,0.009,-0.055,0.074,0.049,-0.011,0.109,-0.015,32
0.141,-0.066,0.349,-0.144,-0.19,-0.097,0.006,-0.067,0.08,0.027,-0.042,0.096,0.032,-0.032,0.096,0.007,33
0.161,-0.046,0.367,-0.165,-0.21,-0.12,-0.025,-0.098,0.047,-0.001,-0.067,0.065,0.042,-0.019,0.104,-0.028,34
0.122,-0.084,0.329,-0.151,-0.196,-0.107,-0.004,-0.074,0.066,0.014,-0.051,0.079,0.031,-0.03,0.092,-0.004,35
0.151,-0.056,0.359,-0.179,-0.224,-0.134,0.006,-0.067,0.079,0.029,-0.037,0.096,0.07,0.008,0.131,0.002,36
0.134,-0.073,0.342,-0.138,-0.184,-0.092,-0.017,-0.09,0.056,0.003,-0.065,0.071,0.015,-0.048,0.079,-0.015,37
0.134,-0.073,0.341,-0.146,-0.189,-0.103,-0.004,-0.074,0.066,0.017,-0.047,0.081,0.024,-0.035,0.084,-0.003,38
0.155,-0.05,0.36,-0.146,-0.187,-0.104,-0.018,-0.084,0.049,0.004,-0.057,0.066,0.043,-0.015,0.1,-0.019,39
0.13,-0.077,0.337,-0.152,-0.196,-0.108,0.011,-0.061,0.082,0.03,-0.035,0.096,0.024,-0.037,0.085,0.01,40
0.152,-0.056,0.36,-0.162,-0.207,-0.117,0.001,-0.072,0.074,0.025,-0.042,0.092,0.051,-0.011,0.113,0,41
0.146,-0.06,0.353,-0.148,-0.192,-0.103,0.018,-0.053,0.089,0.038,-0.028,0.104,0.05,-0.012,0.112,0.016,42
0.13,-0.076,0.336,-0.15,-0.195,-0.105,-0.019,-0.091,0.053,0.003,-0.063,0.069,0.024,-0.038,0.085,-0.016,43
0.159,-0.048,0.366,-0.145,-0.191,-0.099,-0.004,-0.078,0.069,0.014,-0.054,0.083,0.034,-0.029,0.098,-0.009,44
0.144,-0.063,0.351,-0.165,-0.211,-0.119,0.007,-0.066,0.081,0.032,-0.035,0.099,0.043,-0.02,0.105,0.008,45
0.152,-0.055,0.359,-0.128,-0.171,-0.084,0.002,-0.067,0.072,0.023,-0.041,0.087,0.005,-0.054,0.065,0.004,46
0.149,-0.057,0.355,-0.144,-0.188,-0.101,-0.006,-0.076,0.063,0.017,-0.046,0.081,0.014,-0.045,0.074,-0.004,47
0.153,-0.053,0.36,-0.165,-0.21,-0.121,0.008,-0.064,0.08,0.033,-0.032,0.098,0.035,-0.026,0.096,0.008,48
0.151,-0.056,0.357,-0.14,-0.187,-0.094,-0.023,-0.096,0.05,-0.002,-0.07,0.066,0.024,-0.039,0.088,-0.023,49
0.144,-0.062,0.35,-0.143,-0.188,-0.097,-0.01,-0.083,0.062,0.01,-0.058,0.077,0.034,-0.029,0.097,-0.011,50
0.138,-0.069,0.345,-0.144,-0.19,-0.098,-0.01,-0.082,0.062,0.008,-0.059,0.076,0.043,-0.02,0.106,-0.012,51
0.156,-0.05,0.362,-0.154,-0.2,-0.109,0.003,-0.069,0.076,0.026,-0.041,0.093,0.036,-0.027,0.098,0.002,52
0.135,-0.072,0.343,-0.172,-0.215,-0.129,-0.011,-0.082,0.059,0.01,-0.054,0.074,0.07,0.011,0.13,-0.013,53
0.148,-0.059,0.355,-0.168,-0.212,-0.123,-0.008,-0.08,0.065,0.017,-0.049,0.082,0.042,-0.019,0.104,-0.008,54
0.181,-0.025,0.387,-0.16,-0.204,-0.115,-0.009,-0.081,0.062,0.018,-0.049,0.084,0.043,-0.019,0.105,-0.011,55
0.119,-0.088,0.325,-0.165,-0.21,-0.121,-0.018,-0.09,0.054,0.001,-0.065,0.067,0.057,-0.005,0.118,-0.019,56
0.146,-0.062,0.353,-0.134,-0.179,-0.088,-0.024,-0.097,0.048,-0.004,-0.072,0.063,0.026,-0.037,0.089,-0.024,57
0.152,-0.055,0.359,-0.147,-0.193,-0.1,-0.006,-0.08,0.067,0.016,-0.053,0.084,0.034,-0.03,0.097,-0.006,58
0.179,-0.027,0.385,-0.157,-0.202,-0.113,0.006,-0.066,0.078,0.032,-0.034,0.098,0.041,-0.02,0.103,0.004,59
0.161,-0.046,0.368,-0.147,-0.192,-0.102,-0.012,-0.083,0.059,0.01,-0.056,0.076,0.043,-0.018,0.105,-0.014,60
0.157,-0.05,0.364,-0.152,-0.197,-0.106,0.002,-0.071,0.075,0.025,-0.042,0.093,0.035,-0.027,0.098,0.001,61
0.149,-0.058,0.357,-0.163,-0.207,-0.119,0.004,-0.068,0.075,0.027,-0.038,0.092,0.047,-0.013,0.107,0.003,62
0.147,-0.059,0.354,-0.142,-0.185,-0.099,-0.018,-0.087,0.051,0.005,-0.059,0.068,0.016,-0.044,0.075,-0.016,63
0.156,-0.051,0.362,-0.136,-0.18,-0.091,-0.006,-0.077,0.064,0.014,-0.052,0.08,0.033,-0.028,0.094,-0.007,64
0.168,-0.04,0.375,-0.169,-0.216,-0.122,-0.015,-0.09,0.061,0.013,-0.057,0.082,0.048,-0.016,0.113,-0.015,65
0.159,-0.047,0.366,-0.17,-0.213,-0.127,-0.01,-0.08,0.06,0.013,-0.051,0.077,0.063,0.003,0.122,-0.014,66
0.171,-0.035,0.377,-0.127,-0.173,-0.081,-0.028,-0.1,0.045,-0.004,-0.071,0.064,0.01,-0.053,0.073,-0.026,67
0.13,-0.078,0.337,-0.151,-0.197,-0.104,0.006,-0.069,0.081,0.028,-0.041,0.097,0.029,-0.036,0.093,0.008,68
0.188,-0.018,0.394,-0.182,-0.226,-0.137,-0.007,-0.079,0.066,0.025,-0.041,0.091,0.063,0.002,0.125,-0.009,69
0.133,-0.074,0.339,-0.15,-0.195,-0.104,0.02,-0.052,0.092,0.04,-0.026,0.107,0.035,-0.027,0.097,0.02,70
0.129,-0.078,0.337,-0.166,-0.212,-0.12,-0.008,-0.081,0.065,0.011,-0.057,0.078,0.069,0.006,0.132,-0.01,71
0.165,-0.041,0.372,-0.158,-0.205,-0.112,-0.014,-0.088,0.059,0.01,-0.058,0.077,0.039,-0.024,0.102,-0.016,72
0.138,-0.069,0.344,-0.168,-0.215,-0.122,0.019,-0.055,0.093,0.04,-0.029,0.108,0.061,-0.003,0.125,0.017,73
0.141,-0.066,0.349,-0.142,-0.186,-0.097,0,-0.071,0.071,0.024,-0.041,0.089,0.01,-0.051,0.071,0.004,74
0.143,-0.064,0.35,-0.158,-0.202,-0.114,0.017,-0.054,0.089,0.038,-0.028,0.103,0.035,-0.025,0.096,0.015,75
0.149,-0.058,0.357,-0.162,-0.206,-0.117,0.022,-0.05,0.094,0.045,-0.021,0.112,0.053,-0.009,0.114,0.021,76
0.153,-0.056,0.361,-0.146,-0.191,-0.1,0.023,-0.049,0.095,0.044,-0.023,0.111,0.036,-0.026,0.098,0.022,77
0.18,-0.027,0.387,-0.136,-0.181,-0.092,-0.012,-0.082,0.058,0.012,-0.053,0.077,0.035,-0.026,0.095,-0.012,78
0.138,-0.068,0.345,-0.136,-0.183,-0.09,-0.001,-0.074,0.071,0.018,-0.05,0.086,0.032,-0.031,0.096,-0.001,79
0.145,-0.06,0.351,-0.145,-0.19,-0.099,-0.028,-0.101,0.045,-0.005,-0.072,0.062,0.008,-0.055,0.07,-0.026,80
0.15,-0.058,0.357,-0.158,-0.203,-0.113,0.048,-0.025,0.121,0.071,0.004,0.138,0.043,-0.019,0.105,0.047,81
0.163,-0.043,0.369,-0.173,-0.216,-0.131,0.004,-0.065,0.072,0.029,-0.033,0.092,0.067,0.009,0.125,0.001,82
0.16,-0.048,0.367,-0.136,-0.18,-0.091,-0.001,-0.072,0.071,0.025,-0.042,0.091,0.009,-0.052,0.071,0.003,83
0.147,-0.06,0.354,-0.171,-0.219,-0.124,-0.018,-0.094,0.058,0.006,-0.064,0.076,0.053,-0.012,0.118,-0.019,84
0.155,-0.051,0.362,-0.151,-0.197,-0.105,0.026,-0.047,0.098,0.049,-0.018,0.116,0.038,-0.025,0.1,0.026,85
0.15,-0.058,0.357,-0.144,-0.188,-0.101,-0.008,-0.079,0.062,0.014,-0.05,0.079,0.008,-0.052,0.067,-0.008,86
0.129,-0.079,0.337,-0.159,-0.203,-0.115,0.03,-0.041,0.101,0.048,-0.017,0.114,0.059,-0.002,0.12,0.027,87
0.136,-0.071,0.342,-0.144,-0.19,-0.099,0.027,-0.046,0.1,0.047,-0.021,0.114,0.019,-0.044,0.082,0.027,88
0.149,-0.056,0.354,-0.143,-0.188,-0.097,0,-0.072,0.072,0.022,-0.045,0.088,0.029,-0.034,0.092,0.001,89
0.145,-0.063,0.353,-0.157,-0.201,-0.113,-0.01,-0.082,0.062,0.013,-0.053,0.078,0.035,-0.026,0.096,-0.01,90
0.171,-0.035,0.376,-0.174,-0.22,-0.127,0.003,-0.072,0.077,0.028,-0.04,0.097,0.068,0.004,0.132,-0.002,91
0.164,-0.043,0.371,-0.165,-0.21,-0.119,0.008,-0.064,0.081,0.034,-0.033,0.101,0.055,-0.007,0.117,0.007,92
0.156,-0.052,0.363,-0.141,-0.185,-0.097,-0.002,-0.072,0.068,0.019,-0.047,0.084,0.039,-0.022,0.1,-0.003,93
0.141,-0.065,0.347,-0.155,-0.202,-0.109,-0.03,-0.104,0.044,-0.009,-0.077,0.06,0.031,-0.033,0.095,-0.031,94
0.15,-0.057,0.358,-0.18,-0.224,-0.136,0.002,-0.07,0.074,0.026,-0.039,0.091,0.069,0.009,0.13,-0.001,95
0.145,-0.061,0.351,-0.14,-0.186,-0.094,0.05,-0.024,0.123,0.07,0.002,0.138,0.025,-0.039,0.089,0.05,96
0.148,-0.06,0.355,-0.16,-0.205,-0.116,-0.016,-0.088,0.055,0.006,-0.06,0.072,0.053,-0.008,0.115,-0.018,97
0.153,-0.053,0.36,-0.141,-0.185,-0.096,-0.041,-0.112,0.029,-0.02,-0.085,0.044,0.017,-0.043,0.078,-0.042,98
0.158,-0.048,0.365,-0.164,-0.21,-0.118,0.028,-0.047,0.102,0.052,-0.016,0.12,0.039,-0.025,0.103,0.026,99
0.13,-0.077,0.336,-0.168,-0.214,-0.122,-0.013,-0.086,0.06,0.007,-0.059,0.074,0.051,-0.012,0.113,-0.015,100
0.163,-0.043,0.369,-0.148,-0.191,-0.104,-0.003,-0.074,0.068,0.021,-0.044,0.087,0.035,-0.027,0.096,-0.003,101
0.146,-0.06,0.352,-0.141,-0.185,-0.096,0.001,-0.069,0.071,0.023,-0.042,0.088,0.021,-0.04,0.082,0.002,102
0.145,-0.061,0.352,-0.15,-0.196,-0.105,0.036,-0.037,0.109,0.057,-0.011,0.124,0.045,-0.018,0.108,0.035,103
0.181,-0.025,0.387,-0.158,-0.203,-0.113,-0.017,-0.091,0.056,0.013,-0.053,0.08,0.01,-0.052,0.072,-0.016,104
0.152,-0.055,0.359,-0.152,-0.198,-0.107,0.001,-0.071,0.074,0.024,-0.044,0.091,0.043,-0.02,0.106,0.001,105
